Analyzer_Comb,Comb_Token,Target,Scenario,N_Detected_CVEs,N_All_CVEs
flawfinder-commsca,FLF-CSA,ffmpeg,Scenario 2 (S.1-2),3,22
flawfinder-commsca,FLF-CSA,ffmpeg,Scenario 3 (S.2-1),9,22
flawfinder-commsca,FLF-CSA,ffmpeg,Scenario 4 (S.2-2),2,22
flawfinder-commsca,FLF-CSA,binutils,Scenario 1 (S.1-1),46,59
flawfinder-commsca,FLF-CSA,binutils,Scenario 2 (S.1-2),29,59
flawfinder-commsca,FLF-CSA,binutils,Scenario 3 (S.2-1),27,59
flawfinder-commsca,FLF-CSA,binutils,Scenario 4 (S.2-2),15,59
cppcheck-infer,CPC-IFR,libpng,Scenario 1 (S.1-1),0,7
cppcheck-infer,CPC-IFR,libpng,Scenario 2 (S.1-2),0,7
cppcheck-infer,CPC-IFR,libpng,Scenario 3 (S.2-1),0,7
cppcheck-infer,CPC-IFR,libpng,Scenario 4 (S.2-2),0,7
cppcheck-infer,CPC-IFR,libtiff,Scenario 1 (S.1-1),0,13
cppcheck-infer,CPC-IFR,libtiff,Scenario 2 (S.1-2),0,13
cppcheck-infer,CPC-IFR,libtiff,Scenario 3 (S.2-1),0,13
cppcheck-infer,CPC-IFR,libtiff,Scenario 4 (S.2-2),0,13
cppcheck-infer,CPC-IFR,libxml2,Scenario 1 (S.1-1),3,17
cppcheck-infer,CPC-IFR,libxml2,Scenario 2 (S.1-2),3,17
cppcheck-infer,CPC-IFR,libxml2,Scenario 3 (S.2-1),3,17
cppcheck-infer,CPC-IFR,libxml2,Scenario 4 (S.2-2),2,17
cppcheck-infer,CPC-IFR,poppler,Scenario 1 (S.1-1),3,22
cppcheck-infer,CPC-IFR,poppler,Scenario 2 (S.1-2),2,22
cppcheck-infer,CPC-IFR,poppler,Scenario 3 (S.2-1),3,22
cppcheck-infer,CPC-IFR,poppler,Scenario 4 (S.2-2),2,22
cppcheck-infer,CPC-IFR,openssl,Scenario 1 (S.1-1),4,21
cppcheck-infer,CPC-IFR,openssl,Scenario 2 (S.1-2),4,21
cppcheck-infer,CPC-IFR,openssl,Scenario 3 (S.2-1),2,21
cppcheck-infer,CPC-IFR,openssl,Scenario 4 (S.2-2),2,21
cppcheck-infer,CPC-IFR,php,Scenario 1 (S.1-1),3,15
cppcheck-infer,CPC-IFR,php,Scenario 2 (S.1-2),2,15
cppcheck-infer,CPC-IFR,php,Scenario 3 (S.2-1),2,15
cppcheck-infer,CPC-IFR,php,Scenario 4 (S.2-2),1,15
cppcheck-infer,CPC-IFR,sqlite3,Scenario 1 (S.1-1),6,16
cppcheck-infer,CPC-IFR,sqlite3,Scenario 2 (S.1-2),2,16
cppcheck-infer,CPC-IFR,sqlite3,Scenario 3 (S.2-1),6,16
cppcheck-infer,CPC-IFR,sqlite3,Scenario 4 (S.2-2),2,16
cppcheck-infer,CPC-IFR,ffmpeg,Scenario 1 (S.1-1),1,22
cppcheck-infer,CPC-IFR,ffmpeg,Scenario 2 (S.1-2),1,22
cppcheck-infer,CPC-IFR,ffmpeg,Scenario 3 (S.2-1),1,22
cppcheck-infer,CPC-IFR,ffmpeg,Scenario 4 (S.2-2),1,22
cppcheck-infer,CPC-IFR,binutils,Scenario 1 (S.1-1),16,59
cppcheck-infer,CPC-IFR,binutils,Scenario 2 (S.1-2),11,59
cppcheck-infer,CPC-IFR,binutils,Scenario 3 (S.2-1),4,59
cppcheck-infer,CPC-IFR,binutils,Scenario 4 (S.2-2),0,59
cppcheck-codeql,CPC-CQL,libpng,Scenario 1 (S.1-1),3,7
cppcheck-codeql,CPC-CQL,libpng,Scenario 2 (S.1-2),1,7
cppcheck-codeql,CPC-CQL,libpng,Scenario 3 (S.2-1),1,7
cppcheck-codeql,CPC-CQL,libpng,Scenario 4 (S.2-2),0,7
cppcheck-codeql,CPC-CQL,libtiff,Scenario 1 (S.1-1),5,13
cppcheck-codeql,CPC-CQL,libtiff,Scenario 2 (S.1-2),1,13
cppcheck-codeql,CPC-CQL,libtiff,Scenario 3 (S.2-1),5,13
cppcheck-codeql,CPC-CQL,libtiff,Scenario 4 (S.2-2),1,13
cppcheck-codeql,CPC-CQL,libxml2,Scenario 1 (S.1-1),14,17
cppcheck-codeql,CPC-CQL,libxml2,Scenario 2 (S.1-2),8,17
cppcheck-codeql,CPC-CQL,libxml2,Scenario 3 (S.2-1),14,17
cppcheck-codeql,CPC-CQL,libxml2,Scenario 4 (S.2-2),8,17
cppcheck-codeql,CPC-CQL,poppler,Scenario 1 (S.1-1),0,22
cppcheck-codeql,CPC-CQL,poppler,Scenario 2 (S.1-2),0,22
cppcheck-codeql,CPC-CQL,poppler,Scenario 3 (S.2-1),0,22
cppcheck-codeql,CPC-CQL,poppler,Scenario 4 (S.2-2),0,22
cppcheck-codeql,CPC-CQL,openssl,Scenario 1 (S.1-1),11,21
cppcheck-codeql,CPC-CQL,openssl,Scenario 2 (S.1-2),5,21
cppcheck-codeql,CPC-CQL,openssl,Scenario 3 (S.2-1),8,21
cppcheck-codeql,CPC-CQL,openssl,Scenario 4 (S.2-2),4,21
cppcheck-codeql,CPC-CQL,php,Scenario 1 (S.1-1),11,15
cppcheck-codeql,CPC-CQL,php,Scenario 2 (S.1-2),9,15
cppcheck-codeql,CPC-CQL,php,Scenario 3 (S.2-1),9,15
cppcheck-codeql,CPC-CQL,php,Scenario 4 (S.2-2),7,15
cppcheck-codeql,CPC-CQL,sqlite3,Scenario 1 (S.1-1),9,16
cppcheck-codeql,CPC-CQL,sqlite3,Scenario 2 (S.1-2),5,16
cppcheck-codeql,CPC-CQL,sqlite3,Scenario 3 (S.2-1),9,16
cppcheck-codeql,CPC-CQL,sqlite3,Scenario 4 (S.2-2),5,16
cppcheck-codeql,CPC-CQL,ffmpeg,Scenario 1 (S.1-1),4,22
cppcheck-codeql,CPC-CQL,ffmpeg,Scenario 2 (S.1-2),2,22
cppcheck-codeql,CPC-CQL,ffmpeg,Scenario 3 (S.2-1),3,22
cppcheck-codeql,CPC-CQL,ffmpeg,Scenario 4 (S.2-2),2,22
cppcheck-codeql,CPC-CQL,binutils,Scenario 1 (S.1-1),3,59
cppcheck-codeql,CPC-CQL,binutils,Scenario 2 (S.1-2),0,59
cppcheck-codeql,CPC-CQL,binutils,Scenario 3 (S.2-1),3,59
cppcheck-codeql,CPC-CQL,binutils,Scenario 4 (S.2-2),0,59
cppcheck-codechecker,CPC-CCH,libpng,Scenario 1 (S.1-1),0,7
cppcheck-codechecker,CPC-CCH,libpng,Scenario 2 (S.1-2),0,7
cppcheck-codechecker,CPC-CCH,libpng,Scenario 3 (S.2-1),0,7
cppcheck-codechecker,CPC-CCH,libpng,Scenario 4 (S.2-2),0,7
cppcheck-codechecker,CPC-CCH,libtiff,Scenario 1 (S.1-1),0,13
cppcheck-codechecker,CPC-CCH,libtiff,Scenario 2 (S.1-2),0,13
cppcheck-codechecker,CPC-CCH,libtiff,Scenario 3 (S.2-1),0,13
cppcheck-codechecker,CPC-CCH,libtiff,Scenario 4 (S.2-2),0,13
cppcheck-codechecker,CPC-CCH,libxml2,Scenario 1 (S.1-1),1,17
cppcheck-codechecker,CPC-CCH,libxml2,Scenario 2 (S.1-2),1,17
cppcheck-codechecker,CPC-CCH,libxml2,Scenario 3 (S.2-1),1,17
cppcheck-codechecker,CPC-CCH,libxml2,Scenario 4 (S.2-2),0,17
cppcheck-codechecker,CPC-CCH,poppler,Scenario 1 (S.1-1),1,22
cppcheck-codechecker,CPC-CCH,poppler,Scenario 2 (S.1-2),0,22
cppcheck-codechecker,CPC-CCH,poppler,Scenario 3 (S.2-1),0,22
cppcheck-codechecker,CPC-CCH,poppler,Scenario 4 (S.2-2),0,22
cppcheck-codechecker,CPC-CCH,openssl,Scenario 1 (S.1-1),4,21
cppcheck-codechecker,CPC-CCH,openssl,Scenario 2 (S.1-2),3,21
cppcheck-codechecker,CPC-CCH,openssl,Scenario 3 (S.2-1),1,21
cppcheck-codechecker,CPC-CCH,openssl,Scenario 4 (S.2-2),1,21
cppcheck-codechecker,CPC-CCH,php,Scenario 1 (S.1-1),0,15
cppcheck-codechecker,CPC-CCH,php,Scenario 2 (S.1-2),0,15
cppcheck-codechecker,CPC-CCH,php,Scenario 3 (S.2-1),0,15
cppcheck-codechecker,CPC-CCH,php,Scenario 4 (S.2-2),0,15
cppcheck-codechecker,CPC-CCH,sqlite3,Scenario 1 (S.1-1),5,16
cppcheck-codechecker,CPC-CCH,sqlite3,Scenario 2 (S.1-2),3,16
cppcheck-codechecker,CPC-CCH,sqlite3,Scenario 3 (S.2-1),5,16
cppcheck-codechecker,CPC-CCH,sqlite3,Scenario 4 (S.2-2),3,16
cppcheck-codechecker,CPC-CCH,ffmpeg,Scenario 1 (S.1-1),1,22
cppcheck-codechecker,CPC-CCH,ffmpeg,Scenario 2 (S.1-2),1,22
cppcheck-codechecker,CPC-CCH,ffmpeg,Scenario 3 (S.2-1),1,22
cppcheck-codechecker,CPC-CCH,ffmpeg,Scenario 4 (S.2-2),1,22
cppcheck-codechecker,CPC-CCH,binutils,Scenario 1 (S.1-1),8,59
cppcheck-codechecker,CPC-CCH,binutils,Scenario 2 (S.1-2),0,59
cppcheck-codechecker,CPC-CCH,binutils,Scenario 3 (S.2-1),7,59
cppcheck-codechecker,CPC-CCH,binutils,Scenario 4 (S.2-2),0,59
cppcheck-commsca,CPC-CSA,libpng,Scenario 1 (S.1-1),2,7
cppcheck-commsca,CPC-CSA,libpng,Scenario 2 (S.1-2),1,7
cppcheck-commsca,CPC-CSA,libpng,Scenario 3 (S.2-1),0,7
cppcheck-commsca,CPC-CSA,libpng,Scenario 4 (S.2-2),0,7
cppcheck-commsca,CPC-CSA,libtiff,Scenario 1 (S.1-1),5,13
cppcheck-commsca,CPC-CSA,libtiff,Scenario 2 (S.1-2),3,13
cppcheck-commsca,CPC-CSA,libtiff,Scenario 3 (S.2-1),4,13
cppcheck-commsca,CPC-CSA,libtiff,Scenario 4 (S.2-2),2,13
cppcheck-commsca,CPC-CSA,libxml2,Scenario 1 (S.1-1),8,17
cppcheck-commsca,CPC-CSA,libxml2,Scenario 2 (S.1-2),6,17
cppcheck-commsca,CPC-CSA,libxml2,Scenario 3 (S.2-1),6,17
cppcheck-commsca,CPC-CSA,libxml2,Scenario 4 (S.2-2),4,17
cppcheck-commsca,CPC-CSA,poppler,Scenario 1 (S.1-1),11,22
cppcheck-commsca,CPC-CSA,poppler,Scenario 2 (S.1-2),2,22
cppcheck-commsca,CPC-CSA,poppler,Scenario 3 (S.2-1),11,22
cppcheck-commsca,CPC-CSA,poppler,Scenario 4 (S.2-2),2,22
cppcheck-commsca,CPC-CSA,openssl,Scenario 1 (S.1-1),9,21
cppcheck-commsca,CPC-CSA,openssl,Scenario 2 (S.1-2),6,21
cppcheck-commsca,CPC-CSA,openssl,Scenario 3 (S.2-1),7,21
cppcheck-commsca,CPC-CSA,openssl,Scenario 4 (S.2-2),4,21
cppcheck-commsca,CPC-CSA,php,Scenario 1 (S.1-1),8,15
cppcheck-commsca,CPC-CSA,php,Scenario 2 (S.1-2),7,15
cppcheck-commsca,CPC-CSA,php,Scenario 3 (S.2-1),7,15
cppcheck-commsca,CPC-CSA,php,Scenario 4 (S.2-2),6,15
cppcheck-commsca,CPC-CSA,sqlite3,Scenario 1 (S.1-1),6,16
cppcheck-commsca,CPC-CSA,sqlite3,Scenario 2 (S.1-2),5,16
cppcheck-commsca,CPC-CSA,sqlite3,Scenario 3 (S.2-1),6,16
cppcheck-commsca,CPC-CSA,sqlite3,Scenario 4 (S.2-2),5,16
cppcheck-commsca,CPC-CSA,ffmpeg,Scenario 1 (S.1-1),7,22
cppcheck-commsca,CPC-CSA,ffmpeg,Scenario 2 (S.1-2),4,22
cppcheck-commsca,CPC-CSA,ffmpeg,Scenario 3 (S.2-1),5,22
cppcheck-commsca,CPC-CSA,ffmpeg,Scenario 4 (S.2-2),3,22
cppcheck-commsca,CPC-CSA,binutils,Scenario 1 (S.1-1),47,59
cppcheck-commsca,CPC-CSA,binutils,Scenario 2 (S.1-2),26,59
cppcheck-commsca,CPC-CSA,binutils,Scenario 3 (S.2-1),27,59
cppcheck-commsca,CPC-CSA,binutils,Scenario 4 (S.2-2),14,59
infer-codeql,IFR-CQL,libpng,Scenario 1 (S.1-1),3,7
infer-codeql,IFR-CQL,libpng,Scenario 2 (S.1-2),1,7
infer-codeql,IFR-CQL,libpng,Scenario 3 (S.2-1),1,7
infer-codeql,IFR-CQL,libpng,Scenario 4 (S.2-2),0,7
infer-codeql,IFR-CQL,libtiff,Scenario 1 (S.1-1),5,13
infer-codeql,IFR-CQL,libtiff,Scenario 2 (S.1-2),1,13
infer-codeql,IFR-CQL,libtiff,Scenario 3 (S.2-1),5,13
infer-codeql,IFR-CQL,libtiff,Scenario 4 (S.2-2),1,13
infer-codeql,IFR-CQL,libxml2,Scenario 1 (S.1-1),14,17
infer-codeql,IFR-CQL,libxml2,Scenario 2 (S.1-2),8,17
infer-codeql,IFR-CQL,libxml2,Scenario 3 (S.2-1),14,17
infer-codeql,IFR-CQL,libxml2,Scenario 4 (S.2-2),8,17
infer-codeql,IFR-CQL,poppler,Scenario 1 (S.1-1),3,22
infer-codeql,IFR-CQL,poppler,Scenario 2 (S.1-2),2,22
infer-codeql,IFR-CQL,poppler,Scenario 3 (S.2-1),3,22
infer-codeql,IFR-CQL,poppler,Scenario 4 (S.2-2),2,22
infer-codeql,IFR-CQL,openssl,Scenario 1 (S.1-1),11,21
infer-codeql,IFR-CQL,openssl,Scenario 2 (S.1-2),7,21
infer-codeql,IFR-CQL,openssl,Scenario 3 (S.2-1),9,21
infer-codeql,IFR-CQL,openssl,Scenario 4 (S.2-2),4,21
infer-codeql,IFR-CQL,php,Scenario 1 (S.1-1),11,15
infer-codeql,IFR-CQL,php,Scenario 2 (S.1-2),9,15
infer-codeql,IFR-CQL,php,Scenario 3 (S.2-1),10,15
infer-codeql,IFR-CQL,php,Scenario 4 (S.2-2),8,15
infer-codeql,IFR-CQL,sqlite3,Scenario 1 (S.1-1),9,16
infer-codeql,IFR-CQL,sqlite3,Scenario 2 (S.1-2),6,16
infer-codeql,IFR-CQL,sqlite3,Scenario 3 (S.2-1),9,16
infer-codeql,IFR-CQL,sqlite3,Scenario 4 (S.2-2),6,16
infer-codeql,IFR-CQL,ffmpeg,Scenario 1 (S.1-1),3,22
infer-codeql,IFR-CQL,ffmpeg,Scenario 2 (S.1-2),1,22
infer-codeql,IFR-CQL,ffmpeg,Scenario 3 (S.2-1),2,22
infer-codeql,IFR-CQL,ffmpeg,Scenario 4 (S.2-2),1,22
infer-codeql,IFR-CQL,binutils,Scenario 1 (S.1-1),13,59
infer-codeql,IFR-CQL,binutils,Scenario 2 (S.1-2),11,59
infer-codeql,IFR-CQL,binutils,Scenario 3 (S.2-1),1,59
infer-codeql,IFR-CQL,binutils,Scenario 4 (S.2-2),0,59
infer-codechecker,IFR-CCH,libpng,Scenario 1 (S.1-1),0,7
infer-codechecker,IFR-CCH,libpng,Scenario 2 (S.1-2),0,7
infer-codechecker,IFR-CCH,libpng,Scenario 3 (S.2-1),0,7
infer-codechecker,IFR-CCH,libpng,Scenario 4 (S.2-2),0,7
infer-codechecker,IFR-CCH,libtiff,Scenario 1 (S.1-1),0,13
infer-codechecker,IFR-CCH,libtiff,Scenario 2 (S.1-2),0,13
infer-codechecker,IFR-CCH,libtiff,Scenario 3 (S.2-1),0,13
infer-codechecker,IFR-CCH,libtiff,Scenario 4 (S.2-2),0,13
infer-codechecker,IFR-CCH,libxml2,Scenario 1 (S.1-1),2,17
infer-codechecker,IFR-CCH,libxml2,Scenario 2 (S.1-2),2,17
infer-codechecker,IFR-CCH,libxml2,Scenario 3 (S.2-1),2,17
infer-codechecker,IFR-CCH,libxml2,Scenario 4 (S.2-2),2,17
infer-codechecker,IFR-CCH,poppler,Scenario 1 (S.1-1),3,22
infer-codechecker,IFR-CCH,poppler,Scenario 2 (S.1-2),2,22
infer-codechecker,IFR-CCH,poppler,Scenario 3 (S.2-1),3,22
infer-codechecker,IFR-CCH,poppler,Scenario 4 (S.2-2),2,22
infer-codechecker,IFR-CCH,openssl,Scenario 1 (S.1-1),6,21
infer-codechecker,IFR-CCH,openssl,Scenario 2 (S.1-2),6,21
infer-codechecker,IFR-CCH,openssl,Scenario 3 (S.2-1),3,21
infer-codechecker,IFR-CCH,openssl,Scenario 4 (S.2-2),3,21
infer-codechecker,IFR-CCH,php,Scenario 1 (S.1-1),3,15
infer-codechecker,IFR-CCH,php,Scenario 2 (S.1-2),2,15
infer-codechecker,IFR-CCH,php,Scenario 3 (S.2-1),2,15
infer-codechecker,IFR-CCH,php,Scenario 4 (S.2-2),1,15
infer-codechecker,IFR-CCH,sqlite3,Scenario 1 (S.1-1),6,16
infer-codechecker,IFR-CCH,sqlite3,Scenario 2 (S.1-2),3,16
infer-codechecker,IFR-CCH,sqlite3,Scenario 3 (S.2-1),6,16
infer-codechecker,IFR-CCH,sqlite3,Scenario 4 (S.2-2),3,16
infer-codechecker,IFR-CCH,ffmpeg,Scenario 1 (S.1-1),0,22
infer-codechecker,IFR-CCH,ffmpeg,Scenario 2 (S.1-2),0,22
infer-codechecker,IFR-CCH,ffmpeg,Scenario 3 (S.2-1),0,22
infer-codechecker,IFR-CCH,ffmpeg,Scenario 4 (S.2-2),0,22
infer-codechecker,IFR-CCH,binutils,Scenario 1 (S.1-1),19,59
infer-codechecker,IFR-CCH,binutils,Scenario 2 (S.1-2),11,59
infer-codechecker,IFR-CCH,binutils,Scenario 3 (S.2-1),7,59
infer-codechecker,IFR-CCH,binutils,Scenario 4 (S.2-2),0,59
infer-commsca,IFR-CSA,libpng,Scenario 1 (S.1-1),2,7
infer-commsca,IFR-CSA,libpng,Scenario 2 (S.1-2),1,7
infer-commsca,IFR-CSA,libpng,Scenario 3 (S.2-1),0,7
infer-commsca,IFR-CSA,libpng,Scenario 4 (S.2-2),0,7
infer-commsca,IFR-CSA,libtiff,Scenario 1 (S.1-1),5,13
infer-commsca,IFR-CSA,libtiff,Scenario 2 (S.1-2),3,13
infer-commsca,IFR-CSA,libtiff,Scenario 3 (S.2-1),4,13
infer-commsca,IFR-CSA,libtiff,Scenario 4 (S.2-2),2,13
infer-commsca,IFR-CSA,libxml2,Scenario 1 (S.1-1),10,17
infer-commsca,IFR-CSA,libxml2,Scenario 2 (S.1-2),8,17
infer-commsca,IFR-CSA,libxml2,Scenario 3 (S.2-1),7,17
infer-commsca,IFR-CSA,libxml2,Scenario 4 (S.2-2),6,17
infer-commsca,IFR-CSA,poppler,Scenario 1 (S.1-1),13,22
infer-commsca,IFR-CSA,poppler,Scenario 2 (S.1-2),4,22
infer-commsca,IFR-CSA,poppler,Scenario 3 (S.2-1),13,22
infer-commsca,IFR-CSA,poppler,Scenario 4 (S.2-2),4,22
infer-commsca,IFR-CSA,openssl,Scenario 1 (S.1-1),11,21
infer-commsca,IFR-CSA,openssl,Scenario 2 (S.1-2),8,21
infer-commsca,IFR-CSA,openssl,Scenario 3 (S.2-1),8,21
infer-commsca,IFR-CSA,openssl,Scenario 4 (S.2-2),5,21
infer-commsca,IFR-CSA,php,Scenario 1 (S.1-1),8,15
infer-commsca,IFR-CSA,php,Scenario 2 (S.1-2),7,15
infer-commsca,IFR-CSA,php,Scenario 3 (S.2-1),7,15
infer-commsca,IFR-CSA,php,Scenario 4 (S.2-2),6,15
infer-commsca,IFR-CSA,sqlite3,Scenario 1 (S.1-1),8,16
infer-commsca,IFR-CSA,sqlite3,Scenario 2 (S.1-2),5,16
infer-commsca,IFR-CSA,sqlite3,Scenario 3 (S.2-1),8,16
infer-commsca,IFR-CSA,sqlite3,Scenario 4 (S.2-2),5,16
infer-commsca,IFR-CSA,ffmpeg,Scenario 1 (S.1-1),7,22
infer-commsca,IFR-CSA,ffmpeg,Scenario 2 (S.1-2),3,22
infer-commsca,IFR-CSA,ffmpeg,Scenario 3 (S.2-1),5,22
infer-commsca,IFR-CSA,ffmpeg,Scenario 4 (S.2-2),2,22
infer-commsca,IFR-CSA,binutils,Scenario 1 (S.1-1),46,59
infer-commsca,IFR-CSA,binutils,Scenario 2 (S.1-2),27,59
infer-commsca,IFR-CSA,binutils,Scenario 3 (S.2-1),26,59
infer-commsca,IFR-CSA,binutils,Scenario 4 (S.2-2),14,59
codeql-codechecker,CQL-CCH,libpng,Scenario 1 (S.1-1),3,7
codeql-codechecker,CQL-CCH,libpng,Scenario 2 (S.1-2),1,7
codeql-codechecker,CQL-CCH,libpng,Scenario 3 (S.2-1),1,7
codeql-codechecker,CQL-CCH,libpng,Scenario 4 (S.2-2),0,7
codeql-codechecker,CQL-CCH,libtiff,Scenario 1 (S.1-1),5,13
codeql-codechecker,CQL-CCH,libtiff,Scenario 2 (S.1-2),1,13
codeql-codechecker,CQL-CCH,libtiff,Scenario 3 (S.2-1),5,13
codeql-codechecker,CQL-CCH,libtiff,Scenario 4 (S.2-2),1,13
codeql-codechecker,CQL-CCH,libxml2,Scenario 1 (S.1-1),14,17
codeql-codechecker,CQL-CCH,libxml2,Scenario 2 (S.1-2),8,17
codeql-codechecker,CQL-CCH,libxml2,Scenario 3 (S.2-1),14,17
codeql-codechecker,CQL-CCH,libxml2,Scenario 4 (S.2-2),8,17
codeql-codechecker,CQL-CCH,poppler,Scenario 1 (S.1-1),1,22
codeql-codechecker,CQL-CCH,poppler,Scenario 2 (S.1-2),0,22
codeql-codechecker,CQL-CCH,poppler,Scenario 3 (S.2-1),0,22
codeql-codechecker,CQL-CCH,poppler,Scenario 4 (S.2-2),0,22
codeql-codechecker,CQL-CCH,openssl,Scenario 1 (S.1-1),11,21
codeql-codechecker,CQL-CCH,openssl,Scenario 2 (S.1-2),6,21
codeql-codechecker,CQL-CCH,openssl,Scenario 3 (S.2-1),9,21
codeql-codechecker,CQL-CCH,openssl,Scenario 4 (S.2-2),4,21
codeql-codechecker,CQL-CCH,php,Scenario 1 (S.1-1),11,15
codeql-codechecker,CQL-CCH,php,Scenario 2 (S.1-2),9,15
codeql-codechecker,CQL-CCH,php,Scenario 3 (S.2-1),9,15
codeql-codechecker,CQL-CCH,php,Scenario 4 (S.2-2),7,15
codeql-codechecker,CQL-CCH,sqlite3,Scenario 1 (S.1-1),9,16
codeql-codechecker,CQL-CCH,sqlite3,Scenario 2 (S.1-2),6,16
codeql-codechecker,CQL-CCH,sqlite3,Scenario 3 (S.2-1),9,16
codeql-codechecker,CQL-CCH,sqlite3,Scenario 4 (S.2-2),6,16
codeql-codechecker,CQL-CCH,ffmpeg,Scenario 1 (S.1-1),3,22
codeql-codechecker,CQL-CCH,ffmpeg,Scenario 2 (S.1-2),1,22
codeql-codechecker,CQL-CCH,ffmpeg,Scenario 3 (S.2-1),2,22
codeql-codechecker,CQL-CCH,ffmpeg,Scenario 4 (S.2-2),1,22
codeql-codechecker,CQL-CCH,binutils,Scenario 1 (S.1-1),7,59
codeql-codechecker,CQL-CCH,binutils,Scenario 2 (S.1-2),0,59
codeql-codechecker,CQL-CCH,binutils,Scenario 3 (S.2-1),6,59
codeql-codechecker,CQL-CCH,binutils,Scenario 4 (S.2-2),0,59
codeql-commsca,CQL-CSA,libpng,Scenario 1 (S.1-1),3,7
codeql-commsca,CQL-CSA,libpng,Scenario 2 (S.1-2),2,7
codeql-commsca,CQL-CSA,libpng,Scenario 3 (S.2-1),1,7
codeql-commsca,CQL-CSA,libpng,Scenario 4 (S.2-2),0,7
codeql-commsca,CQL-CSA,libtiff,Scenario 1 (S.1-1),7,13
codeql-commsca,CQL-CSA,libtiff,Scenario 2 (S.1-2),3,13
codeql-commsca,CQL-CSA,libtiff,Scenario 3 (S.2-1),6,13
codeql-commsca,CQL-CSA,libtiff,Scenario 4 (S.2-2),2,13
codeql-commsca,CQL-CSA,libxml2,Scenario 1 (S.1-1),14,17
codeql-commsca,CQL-CSA,libxml2,Scenario 2 (S.1-2),8,17
codeql-commsca,CQL-CSA,libxml2,Scenario 3 (S.2-1),14,17
codeql-commsca,CQL-CSA,libxml2,Scenario 4 (S.2-2),8,17
codeql-commsca,CQL-CSA,poppler,Scenario 1 (S.1-1),11,22
codeql-commsca,CQL-CSA,poppler,Scenario 2 (S.1-2),2,22
codeql-commsca,CQL-CSA,poppler,Scenario 3 (S.2-1),11,22
codeql-commsca,CQL-CSA,poppler,Scenario 4 (S.2-2),2,22
codeql-commsca,CQL-CSA,openssl,Scenario 1 (S.1-1),14,21
codeql-commsca,CQL-CSA,openssl,Scenario 2 (S.1-2),8,21
codeql-commsca,CQL-CSA,openssl,Scenario 3 (S.2-1),11,21
codeql-commsca,CQL-CSA,openssl,Scenario 4 (S.2-2),6,21
codeql-commsca,CQL-CSA,php,Scenario 1 (S.1-1),11,15
codeql-commsca,CQL-CSA,php,Scenario 2 (S.1-2),10,15
codeql-commsca,CQL-CSA,php,Scenario 3 (S.2-1),10,15
codeql-commsca,CQL-CSA,php,Scenario 4 (S.2-2),9,15
codeql-commsca,CQL-CSA,sqlite3,Scenario 1 (S.1-1),9,16
codeql-commsca,CQL-CSA,sqlite3,Scenario 2 (S.1-2),8,16
codeql-commsca,CQL-CSA,sqlite3,Scenario 3 (S.2-1),9,16
codeql-commsca,CQL-CSA,sqlite3,Scenario 4 (S.2-2),8,16
codeql-commsca,CQL-CSA,ffmpeg,Scenario 1 (S.1-1),9,22
codeql-commsca,CQL-CSA,ffmpeg,Scenario 2 (S.1-2),4,22
codeql-commsca,CQL-CSA,ffmpeg,Scenario 3 (S.2-1),8,22
codeql-commsca,CQL-CSA,ffmpeg,Scenario 4 (S.2-2),3,22
codeql-commsca,CQL-CSA,binutils,Scenario 1 (S.1-1),45,59
codeql-commsca,CQL-CSA,binutils,Scenario 2 (S.1-2),26,59
codeql-commsca,CQL-CSA,binutils,Scenario 3 (S.2-1),25,59
codeql-commsca,CQL-CSA,binutils,Scenario 4 (S.2-2),14,59
codechecker-commsca,CCH-CSA,libpng,Scenario 1 (S.1-1),2,7
codechecker-commsca,CCH-CSA,libpng,Scenario 2 (S.1-2),1,7
codechecker-commsca,CCH-CSA,libpng,Scenario 3 (S.2-1),0,7
codechecker-commsca,CCH-CSA,libpng,Scenario 4 (S.2-2),0,7
codechecker-commsca,CCH-CSA,libtiff,Scenario 1 (S.1-1),5,13
codechecker-commsca,CCH-CSA,libtiff,Scenario 2 (S.1-2),3,13
codechecker-commsca,CCH-CSA,libtiff,Scenario 3 (S.2-1),4,13
codechecker-commsca,CCH-CSA,libtiff,Scenario 4 (S.2-2),2,13
codechecker-commsca,CCH-CSA,libxml2,Scenario 1 (S.1-1),8,17
codechecker-commsca,CCH-CSA,libxml2,Scenario 2 (S.1-2),6,17
codechecker-commsca,CCH-CSA,libxml2,Scenario 3 (S.2-1),5,17
codechecker-commsca,CCH-CSA,libxml2,Scenario 4 (S.2-2),4,17
codechecker-commsca,CCH-CSA,poppler,Scenario 1 (S.1-1),12,22
codechecker-commsca,CCH-CSA,poppler,Scenario 2 (S.1-2),2,22
codechecker-commsca,CCH-CSA,poppler,Scenario 3 (S.2-1),11,22
codechecker-commsca,CCH-CSA,poppler,Scenario 4 (S.2-2),2,22
codechecker-commsca,CCH-CSA,openssl,Scenario 1 (S.1-1),10,21
codechecker-commsca,CCH-CSA,openssl,Scenario 2 (S.1-2),7,21
codechecker-commsca,CCH-CSA,openssl,Scenario 3 (S.2-1),7,21
codechecker-commsca,CCH-CSA,openssl,Scenario 4 (S.2-2),4,21
codechecker-commsca,CCH-CSA,php,Scenario 1 (S.1-1),8,15
codechecker-commsca,CCH-CSA,php,Scenario 2 (S.1-2),7,15
codechecker-commsca,CCH-CSA,php,Scenario 3 (S.2-1),7,15
