Analyzer_Comb,Comb_Token,Target,Scenario,N_Detected_CVEs,N_All_CVEs
infer,IFR,poppler,Scenario 2 (S.1-2),2,22
infer,IFR,poppler,Scenario 3 (S.2-1),3,22
infer,IFR,poppler,Scenario 4 (S.2-2),2,22
infer,IFR,openssl,Scenario 1 (S.1-1),4,21
infer,IFR,openssl,Scenario 2 (S.1-2),4,21
infer,IFR,openssl,Scenario 3 (S.2-1),2,21
infer,IFR,openssl,Scenario 4 (S.2-2),2,21
infer,IFR,php,Scenario 1 (S.1-1),3,15
infer,IFR,php,Scenario 2 (S.1-2),2,15
infer,IFR,php,Scenario 3 (S.2-1),2,15
infer,IFR,php,Scenario 4 (S.2-2),1,15
infer,IFR,sqlite3,Scenario 1 (S.1-1),3,16
infer,IFR,sqlite3,Scenario 2 (S.1-2),1,16
infer,IFR,sqlite3,Scenario 3 (S.2-1),3,16
infer,IFR,sqlite3,Scenario 4 (S.2-2),1,16
infer,IFR,ffmpeg,Scenario 1 (S.1-1),0,22
infer,IFR,ffmpeg,Scenario 2 (S.1-2),0,22
infer,IFR,ffmpeg,Scenario 3 (S.2-1),0,22
infer,IFR,ffmpeg,Scenario 4 (S.2-2),0,22
infer,IFR,binutils,Scenario 1 (S.1-1),13,59
infer,IFR,binutils,Scenario 2 (S.1-2),11,59
infer,IFR,binutils,Scenario 3 (S.2-1),1,59
infer,IFR,binutils,Scenario 4 (S.2-2),0,59
codeql,CQL,libpng,Scenario 1 (S.1-1),3,7
codeql,CQL,libpng,Scenario 2 (S.1-2),1,7
codeql,CQL,libpng,Scenario 3 (S.2-1),1,7
codeql,CQL,libpng,Scenario 4 (S.2-2),0,7
codeql,CQL,libtiff,Scenario 1 (S.1-1),5,13
codeql,CQL,libtiff,Scenario 2 (S.1-2),1,13
codeql,CQL,libtiff,Scenario 3 (S.2-1),5,13
codeql,CQL,libtiff,Scenario 4 (S.2-2),1,13
codeql,CQL,libxml2,Scenario 1 (S.1-1),14,17
codeql,CQL,libxml2,Scenario 2 (S.1-2),8,17
codeql,CQL,libxml2,Scenario 3 (S.2-1),14,17
codeql,CQL,libxml2,Scenario 4 (S.2-2),8,17
codeql,CQL,poppler,Scenario 1 (S.1-1),0,22
codeql,CQL,poppler,Scenario 2 (S.1-2),0,22
codeql,CQL,poppler,Scenario 3 (S.2-1),0,22
codeql,CQL,poppler,Scenario 4 (S.2-2),0,22
codeql,CQL,openssl,Scenario 1 (S.1-1),11,21
codeql,CQL,openssl,Scenario 2 (S.1-2),5,21
codeql,CQL,openssl,Scenario 3 (S.2-1),8,21
codeql,CQL,openssl,Scenario 4 (S.2-2),4,21
codeql,CQL,php,Scenario 1 (S.1-1),11,15
codeql,CQL,php,Scenario 2 (S.1-2),9,15
codeql,CQL,php,Scenario 3 (S.2-1),9,15
codeql,CQL,php,Scenario 4 (S.2-2),7,15
codeql,CQL,sqlite3,Scenario 1 (S.1-1),9,16
codeql,CQL,sqlite3,Scenario 2 (S.1-2),5,16
codeql,CQL,sqlite3,Scenario 3 (S.2-1),9,16
codeql,CQL,sqlite3,Scenario 4 (S.2-2),5,16
codeql,CQL,ffmpeg,Scenario 1 (S.1-1),3,22
codeql,CQL,ffmpeg,Scenario 2 (S.1-2),1,22
codeql,CQL,ffmpeg,Scenario 3 (S.2-1),2,22
codeql,CQL,ffmpeg,Scenario 4 (S.2-2),1,22
codeql,CQL,binutils,Scenario 1 (S.1-1),0,59
codeql,CQL,binutils,Scenario 2 (S.1-2),0,59
codeql,CQL,binutils,Scenario 3 (S.2-1),0,59
codeql,CQL,binutils,Scenario 4 (S.2-2),0,59
codechecker,CCH,libpng,Scenario 1 (S.1-1),0,7
codechecker,CCH,libpng,Scenario 2 (S.1-2),0,7
codechecker,CCH,libpng,Scenario 3 (S.2-1),0,7
codechecker,CCH,libpng,Scenario 4 (S.2-2),0,7
codechecker,CCH,libtiff,Scenario 1 (S.1-1),0,13
codechecker,CCH,libtiff,Scenario 2 (S.1-2),0,13
codechecker,CCH,libtiff,Scenario 3 (S.2-1),0,13
codechecker,CCH,libtiff,Scenario 4 (S.2-2),0,13
codechecker,CCH,libxml2,Scenario 1 (S.1-1),0,17
codechecker,CCH,libxml2,Scenario 2 (S.1-2),0,17
codechecker,CCH,libxml2,Scenario 3 (S.2-1),0,17
codechecker,CCH,libxml2,Scenario 4 (S.2-2),0,17
codechecker,CCH,poppler,Scenario 1 (S.1-1),1,22
codechecker,CCH,poppler,Scenario 2 (S.1-2),0,22
codechecker,CCH,poppler,Scenario 3 (S.2-1),0,22
codechecker,CCH,poppler,Scenario 4 (S.2-2),0,22
codechecker,CCH,openssl,Scenario 1 (S.1-1),4,21
codechecker,CCH,openssl,Scenario 2 (S.1-2),3,21
codechecker,CCH,openssl,Scenario 3 (S.2-1),1,21
codechecker,CCH,openssl,Scenario 4 (S.2-2),1,21
codechecker,CCH,php,Scenario 1 (S.1-1),0,15
codechecker,CCH,php,Scenario 2 (S.1-2),0,15
codechecker,CCH,php,Scenario 3 (S.2-1),0,15
codechecker,CCH,php,Scenario 4 (S.2-2),0,15
codechecker,CCH,sqlite3,Scenario 1 (S.1-1),3,16
codechecker,CCH,sqlite3,Scenario 2 (S.1-2),2,16
codechecker,CCH,sqlite3,Scenario 3 (S.2-1),3,16
codechecker,CCH,sqlite3,Scenario 4 (S.2-2),2,16
codechecker,CCH,ffmpeg,Scenario 1 (S.1-1),0,22
codechecker,CCH,ffmpeg,Scenario 2 (S.1-2),0,22
codechecker,CCH,ffmpeg,Scenario 3 (S.2-1),0,22
codechecker,CCH,ffmpeg,Scenario 4 (S.2-2),0,22
codechecker,CCH,binutils,Scenario 1 (S.1-1),7,59
codechecker,CCH,binutils,Scenario 2 (S.1-2),0,59
codechecker,CCH,binutils,Scenario 3 (S.2-1),6,59
codechecker,CCH,binutils,Scenario 4 (S.2-2),0,59
commsca,CSA,libpng,Scenario 1 (S.1-1),2,7
commsca,CSA,libpng,Scenario 2 (S.1-2),1,7
commsca,CSA,libpng,Scenario 3 (S.2-1),0,7
commsca,CSA,libpng,Scenario 4 (S.2-2),0,7
commsca,CSA,libtiff,Scenario 1 (S.1-1),5,13
commsca,CSA,libtiff,Scenario 2 (S.1-2),3,13
commsca,CSA,libtiff,Scenario 3 (S.2-1),4,13
commsca,CSA,libtiff,Scenario 4 (S.2-2),2,13
commsca,CSA,libxml2,Scenario 1 (S.1-1),8,17
commsca,CSA,libxml2,Scenario 2 (S.1-2),6,17
commsca,CSA,libxml2,Scenario 3 (S.2-1),5,17
commsca,CSA,libxml2,Scenario 4 (S.2-2),4,17
commsca,CSA,poppler,Scenario 1 (S.1-1),11,22
commsca,CSA,poppler,Scenario 2 (S.1-2),2,22
commsca,CSA,poppler,Scenario 3 (S.2-1),11,22
commsca,CSA,poppler,Scenario 4 (S.2-2),2,22
commsca,CSA,openssl,Scenario 1 (S.1-1),9,21
commsca,CSA,openssl,Scenario 2 (S.1-2),6,21
commsca,CSA,openssl,Scenario 3 (S.2-1),7,21
commsca,CSA,openssl,Scenario 4 (S.2-2),4,21
commsca,CSA,php,Scenario 1 (S.1-1),8,15
commsca,CSA,php,Scenario 2 (S.1-2),7,15
commsca,CSA,php,Scenario 3 (S.2-1),7,15
commsca,CSA,php,Scenario 4 (S.2-2),6,15
commsca,CSA,sqlite3,Scenario 1 (S.1-1),6,16
commsca,CSA,sqlite3,Scenario 2 (S.1-2),4,16
commsca,CSA,sqlite3,Scenario 3 (S.2-1),6,16
commsca,CSA,sqlite3,Scenario 4 (S.2-2),4,16
commsca,CSA,ffmpeg,Scenario 1 (S.1-1),7,22
commsca,CSA,ffmpeg,Scenario 2 (S.1-2),3,22
commsca,CSA,ffmpeg,Scenario 3 (S.2-1),5,22
commsca,CSA,ffmpeg,Scenario 4 (S.2-2),2,22
commsca,CSA,binutils,Scenario 1 (S.1-1),45,59
commsca,CSA,binutils,Scenario 2 (S.1-2),26,59
commsca,CSA,binutils,Scenario 3 (S.2-1),25,59
commsca,CSA,binutils,Scenario 4 (S.2-2),14,59
flawfinder-cppcheck,FLF-CPC,libpng,Scenario 1 (S.1-1),3,7
flawfinder-cppcheck,FLF-CPC,libpng,Scenario 2 (S.1-2),2,7
flawfinder-cppcheck,FLF-CPC,libpng,Scenario 3 (S.2-1),1,7
flawfinder-cppcheck,FLF-CPC,libpng,Scenario 4 (S.2-2),1,7
flawfinder-cppcheck,FLF-CPC,libtiff,Scenario 1 (S.1-1),1,13
flawfinder-cppcheck,FLF-CPC,libtiff,Scenario 2 (S.1-2),1,13
flawfinder-cppcheck,FLF-CPC,libtiff,Scenario 3 (S.2-1),0,13
flawfinder-cppcheck,FLF-CPC,libtiff,Scenario 4 (S.2-2),0,13
flawfinder-cppcheck,FLF-CPC,libxml2,Scenario 1 (S.1-1),5,17
flawfinder-cppcheck,FLF-CPC,libxml2,Scenario 2 (S.1-2),5,17
flawfinder-cppcheck,FLF-CPC,libxml2,Scenario 3 (S.2-1),5,17
flawfinder-cppcheck,FLF-CPC,libxml2,Scenario 4 (S.2-2),4,17
flawfinder-cppcheck,FLF-CPC,poppler,Scenario 1 (S.1-1),2,22
flawfinder-cppcheck,FLF-CPC,poppler,Scenario 2 (S.1-2),1,22
flawfinder-cppcheck,FLF-CPC,poppler,Scenario 3 (S.2-1),2,22
flawfinder-cppcheck,FLF-CPC,poppler,Scenario 4 (S.2-2),1,22
flawfinder-cppcheck,FLF-CPC,openssl,Scenario 1 (S.1-1),7,21
flawfinder-cppcheck,FLF-CPC,openssl,Scenario 2 (S.1-2),4,21
flawfinder-cppcheck,FLF-CPC,openssl,Scenario 3 (S.2-1),5,21
flawfinder-cppcheck,FLF-CPC,openssl,Scenario 4 (S.2-2),2,21
flawfinder-cppcheck,FLF-CPC,php,Scenario 1 (S.1-1),3,15
flawfinder-cppcheck,FLF-CPC,php,Scenario 2 (S.1-2),3,15
flawfinder-cppcheck,FLF-CPC,php,Scenario 3 (S.2-1),2,15
flawfinder-cppcheck,FLF-CPC,php,Scenario 4 (S.2-2),2,15
flawfinder-cppcheck,FLF-CPC,sqlite3,Scenario 1 (S.1-1),3,16
flawfinder-cppcheck,FLF-CPC,sqlite3,Scenario 2 (S.1-2),1,16
flawfinder-cppcheck,FLF-CPC,sqlite3,Scenario 3 (S.2-1),3,16
