Analyzer_Comb,Comb_Token,LL_CWE_ID,HL_CWE_ID,Scenario,N_Detected_CVEs,N_All_CVEs
cppcheck,CPC,416,664,Scenario 3 (S.2-1),1,7
cppcheck,CPC,416,664,Scenario 4 (S.2-2),0,7
cppcheck,CPC,20,707,Scenario 1 (S.1-1),1,11
cppcheck,CPC,20,707,Scenario 2 (S.1-2),0,11
cppcheck,CPC,20,707,Scenario 3 (S.2-1),1,11
cppcheck,CPC,20,707,Scenario 4 (S.2-2),0,11
cppcheck,CPC,835,691,Scenario 1 (S.1-1),1,6
cppcheck,CPC,835,691,Scenario 2 (S.1-2),0,6
cppcheck,CPC,835,691,Scenario 3 (S.2-1),1,6
cppcheck,CPC,835,691,Scenario 4 (S.2-2),0,6
cppcheck,CPC,401,664,Scenario 1 (S.1-1),0,1
cppcheck,CPC,401,664,Scenario 2 (S.1-2),0,1
cppcheck,CPC,401,664,Scenario 3 (S.2-1),0,1
cppcheck,CPC,401,664,Scenario 4 (S.2-2),0,1
cppcheck,CPC,131,682,Scenario 1 (S.1-1),0,1
cppcheck,CPC,131,682,Scenario 2 (S.1-2),0,1
cppcheck,CPC,131,682,Scenario 3 (S.2-1),0,1
cppcheck,CPC,131,682,Scenario 4 (S.2-2),0,1
cppcheck,CPC,772,664,Scenario 1 (S.1-1),0,2
cppcheck,CPC,772,664,Scenario 2 (S.1-2),0,2
cppcheck,CPC,772,664,Scenario 3 (S.2-1),0,2
cppcheck,CPC,772,664,Scenario 4 (S.2-2),0,2
cppcheck,CPC,119,664,Scenario 1 (S.1-1),1,36
cppcheck,CPC,119,664,Scenario 2 (S.1-2),1,36
cppcheck,CPC,119,664,Scenario 3 (S.2-1),1,36
cppcheck,CPC,119,664,Scenario 4 (S.2-2),1,36
cppcheck,CPC,190,682,Scenario 1 (S.1-1),0,17
cppcheck,CPC,190,682,Scenario 2 (S.1-2),0,17
cppcheck,CPC,190,682,Scenario 3 (S.2-1),0,17
cppcheck,CPC,190,682,Scenario 4 (S.2-2),0,17
cppcheck,CPC,664,664,Scenario 1 (S.1-1),0,1
cppcheck,CPC,664,664,Scenario 2 (S.1-2),0,1
cppcheck,CPC,664,664,Scenario 3 (S.2-1),0,1
cppcheck,CPC,664,664,Scenario 4 (S.2-2),0,1
cppcheck,CPC,369,682,Scenario 1 (S.1-1),0,8
cppcheck,CPC,369,682,Scenario 2 (S.1-2),0,8
cppcheck,CPC,369,682,Scenario 3 (S.2-1),0,8
cppcheck,CPC,369,682,Scenario 4 (S.2-2),0,8
cppcheck,CPC,476,703,Scenario 1 (S.1-1),2,29
cppcheck,CPC,476,703,Scenario 2 (S.1-2),0,29
cppcheck,CPC,476,703,Scenario 3 (S.2-1),2,29
cppcheck,CPC,476,703,Scenario 4 (S.2-2),0,29
cppcheck,CPC,129,707,Scenario 1 (S.1-1),0,1
cppcheck,CPC,129,707,Scenario 2 (S.1-2),0,1
cppcheck,CPC,129,707,Scenario 3 (S.2-1),0,1
cppcheck,CPC,129,707,Scenario 4 (S.2-2),0,1
cppcheck,CPC,787,664,Scenario 1 (S.1-1),1,12
cppcheck,CPC,787,664,Scenario 2 (S.1-2),1,12
cppcheck,CPC,787,664,Scenario 3 (S.2-1),1,12
cppcheck,CPC,787,664,Scenario 4 (S.2-2),0,12
cppcheck,CPC,415,664,Scenario 1 (S.1-1),0,1
cppcheck,CPC,415,664,Scenario 2 (S.1-2),0,1
cppcheck,CPC,415,664,Scenario 3 (S.2-1),0,1
cppcheck,CPC,415,664,Scenario 4 (S.2-2),0,1
cppcheck,CPC,617,691,Scenario 1 (S.1-1),1,1
cppcheck,CPC,617,691,Scenario 2 (S.1-2),1,1
cppcheck,CPC,617,691,Scenario 3 (S.2-1),1,1
cppcheck,CPC,617,691,Scenario 4 (S.2-2),1,1
cppcheck,CPC,125,664,Scenario 1 (S.1-1),0,50
cppcheck,CPC,125,664,Scenario 2 (S.1-2),0,50
cppcheck,CPC,125,664,Scenario 3 (S.2-1),0,50
cppcheck,CPC,125,664,Scenario 4 (S.2-2),0,50
cppcheck,CPC,770,664,Scenario 1 (S.1-1),0,1
cppcheck,CPC,770,664,Scenario 2 (S.1-2),0,1
cppcheck,CPC,770,664,Scenario 3 (S.2-1),0,1
cppcheck,CPC,770,664,Scenario 4 (S.2-2),0,1
