Analyzer_Comb,Comb_Token,Target,N_All_Fcts,N_Marked_Fcts,Ratio_Marked_Fcts
flawfinder-cppcheck-codechecker-commsca,FLF-CPC-CCH-CSA,libpng,398,46,0.11557788944723618
flawfinder-cppcheck-codechecker-commsca,FLF-CPC-CCH-CSA,libtiff,826,71,0.08595641646489104
flawfinder-cppcheck-codechecker-commsca,FLF-CPC-CCH-CSA,libxml2,2982,593,0.198859825620389
flawfinder-cppcheck-codechecker-commsca,FLF-CPC-CCH-CSA,poppler,4659,615,0.1320025756600129
flawfinder-cppcheck-codechecker-commsca,FLF-CPC-CCH-CSA,openssl,13036,2451,0.1880177968702056
flawfinder-cppcheck-codechecker-commsca,FLF-CPC-CCH-CSA,php,9145,2734,0.2989611809732094
flawfinder-cppcheck-codechecker-commsca,FLF-CPC-CCH-CSA,sqlite3,2298,374,0.16275021758050479
flawfinder-cppcheck-codechecker-commsca,FLF-CPC-CCH-CSA,ffmpeg,17788,3034,0.17056442545536316
flawfinder-cppcheck-codechecker-commsca,FLF-CPC-CCH-CSA,binutils,4071,1238,0.3041021861950381
flawfinder-infer-codeql-codechecker,FLF-IFR-CQL-CCH,libpng,398,53,0.13316582914572864
flawfinder-infer-codeql-codechecker,FLF-IFR-CQL-CCH,libtiff,826,92,0.11138014527845036
flawfinder-infer-codeql-codechecker,FLF-IFR-CQL-CCH,libxml2,2982,983,0.32964453386988596
flawfinder-infer-codeql-codechecker,FLF-IFR-CQL-CCH,poppler,4659,218,0.04679115690062245
flawfinder-infer-codeql-codechecker,FLF-IFR-CQL-CCH,openssl,13036,3064,0.23504142374961645
flawfinder-infer-codeql-codechecker,FLF-IFR-CQL-CCH,php,9145,4245,0.4641880809185347
flawfinder-infer-codeql-codechecker,FLF-IFR-CQL-CCH,sqlite3,2298,507,0.2206266318537859
flawfinder-infer-codeql-codechecker,FLF-IFR-CQL-CCH,ffmpeg,17788,2712,0.15246233415785923
flawfinder-infer-codeql-codechecker,FLF-IFR-CQL-CCH,binutils,4071,653,0.16040284942274624
flawfinder-infer-codeql-commsca,FLF-IFR-CQL-CSA,libpng,398,74,0.18592964824120603
flawfinder-infer-codeql-commsca,FLF-IFR-CQL-CSA,libtiff,826,123,0.14891041162227603
flawfinder-infer-codeql-commsca,FLF-IFR-CQL-CSA,libxml2,2982,1146,0.3843058350100604
flawfinder-infer-codeql-commsca,FLF-IFR-CQL-CSA,poppler,4659,613,0.13157329899119982
flawfinder-infer-codeql-commsca,FLF-IFR-CQL-CSA,openssl,13036,3856,0.29579625652040503
flawfinder-infer-codeql-commsca,FLF-IFR-CQL-CSA,php,9145,4757,0.5201749589939858
flawfinder-infer-codeql-commsca,FLF-IFR-CQL-CSA,sqlite3,2298,619,0.2693646649260226
flawfinder-infer-codeql-commsca,FLF-IFR-CQL-CSA,ffmpeg,17788,3620,0.20350798290982686
flawfinder-infer-codeql-commsca,FLF-IFR-CQL-CSA,binutils,4071,1278,0.313927781871776
flawfinder-infer-codechecker-commsca,FLF-IFR-CCH-CSA,libpng,398,63,0.15829145728643215
flawfinder-infer-codechecker-commsca,FLF-IFR-CCH-CSA,libtiff,826,110,0.13317191283292978
flawfinder-infer-codechecker-commsca,FLF-IFR-CCH-CSA,libxml2,2982,611,0.20489604292421193
flawfinder-infer-codechecker-commsca,FLF-IFR-CCH-CSA,poppler,4659,641,0.13758317235458253
flawfinder-infer-codechecker-commsca,FLF-IFR-CCH-CSA,openssl,13036,2902,0.22261429886468243
